OBD times,OBD rpm,OBD coolant temperature,OBD engine load,OBD velocity
0,750,23.00033204,14.47513234,0
1,750,23.00033204,14.47513234,0
2,750,23.00033204,14.47513234,0
3,750,23.00033204,14.47513234,0
4,750,23.00033204,14.47513234,0
5,750,23.02639127,14.49153257,0
6,750,23.07616218,14.52285562,0
7,750,23.12589826,14.55415675,0
8,750,23.17559956,14.58543599,0
9,750,23.22526614,14.61669338,0
10,750,23.27489804,14.64792894,0
11,750,23.32449533,14.67914272,0
12,750,23.37405806,14.71033475,0
13,750,23.42358627,14.74150506,0.514929184
14,750,23.47308003,14.77265369,2.911253966
15,750,23.52253939,14.80378066,7.096452981
16,750.0091022,23.57196439,14.83488601,11.52783769
17,757.3610965,23.62694627,14.86948856,15.17823685
18,757.6698639,23.70760011,14.92024761,18.87203565
19,888.2592913,23.83130295,14.99809931,23.54810646
20,1395.909175,24.02349277,15.11905291,26.78298856
21,1837.937057,24.2438759,15.25774982,28.10248358
22,1467.354965,24.45684496,15.39178073,28.50990533
23,1634.207333,24.76010998,15.5826389,28.74537142
24,1858.703857,25.04254288,15.76038649,29.11108404
25,1337.891964,25.20156395,15.86046553,29.89193074
26,1225.478045,25.31269513,15.93040532,31.39568219
27,1235.599388,25.42000816,15.99794218,32.9818791
28,1251.319286,25.53528768,16.07049272,35.35856377
29,1284.883427,25.67513489,16.15850479,37.92229816
30,1349.521116,25.86556149,16.27834872,40.34169978
31,1417.702664,26.06543974,16.404141,41.97148632
32,1519.862768,26.32940873,16.57026843,42.96529575
33,1630.063071,26.62612741,16.7570067,43.74759363
34,1734.059332,26.92473467,16.94493353,44.32054009
35,1318.309308,27.14770471,17.0852585,44.67497408
36,1245.18126,27.33431284,17.20269929,44.62857592
37,1267.853108,27.51061324,17.31365298,43.78175255
38,1284.457723,27.67160312,17.41497108,41.49659884
39,1294.729607,27.81603901,17.50587101,38.54311554
40,1293.384938,27.92725494,17.57586414,35.48610937
41,1268.843071,27.9816689,17.61010927,33.15438265
42,1202.616817,27.98332169,17.61114944,30.38576789
43,1117.021641,27.99929011,17.62119908,26.79707438
44,1430.632069,28.02160686,17.63524401,22.83226008
45,1425.117607,28.02454268,17.63709165,20.84353902
46,1306.110666,28.02360663,17.63650255,20.12274653
47,1151.853223,28.0283014,17.63945717,19.58038068
48,1465.606706,28.04244634,17.64835921,18.68681738
49,1446.513942,28.0807495,17.6724651,17.86276817
50,1396.4919,28.15561804,17.7195832,17.56209772
51,1358.85243,28.23178981,17.76752148,17.45905508
52,1296.840323,28.29436122,17.80690046,16.47470852
53,1239.652401,28.35420279,17.84456142,14.30991918
54,1218.786272,28.42703997,17.8904011,12.4229433
55,1211.635249,28.50636444,17.94032352,11.89058585
56,1143.322904,28.55944762,17.97373112,11.83224493
57,993.0893971,28.60025831,17.99941511,11.87751976
58,862.1357757,28.64268119,18.02611371,12.02548493
