times,alternator currents,battery currents,velocities
0,0,-87.97758861,0
1,0,-213.0938513,0
2,0,-21.42638506,0
3,0,-21.42638506,0
4,0,-21.42638506,0
5,0,-21.42638506,0
6,0,-21.42638506,0
7,0,-21.42638506,0
8,0,-21.42638506,0
9,0,-21.42638506,0
10,0,-21.42638506,0
11,0,-21.42638506,0
12,0,-21.42638506,0
13,0,-21.42638506,0.514929184
14,0,-21.42638506,2.911253966
15,0,-21.42638506,7.096452981
16,0,-21.42638506,11.52783769
17,0,-21.42638506,15.17823685
18,0,-21.42638506,18.87203565
19,0,-21.42638506,23.54810646
20,0,-21.42638506,26.78298856
21,0,-21.42638506,28.10248358
22,0,-21.42638506,28.50990533
23,0,-21.42638506,28.74537142
24,0,-21.42638506,29.11108404
25,0,-21.42638506,29.89193074
26,0,-21.42638506,31.39568219
27,0,-21.42638506,32.9818791
28,0,-21.42638506,35.35856377
29,0,-21.42638506,37.92229816
30,0,-21.42638506,40.34169978
31,0,-21.42638506,41.97148632
32,0,-21.42638506,42.96529575
33,0,-21.42638506,43.74759363
34,0,-21.42638506,44.32054009
35,0,-21.42638506,44.67497408
36,0,-21.42638506,44.62857592
37,-56.76759025,35.33251709,43.78175255
38,-101.3706969,79.92879735,41.49659884
39,-101.3706969,79.92879735,38.54311554
40,-101.3706969,79.92879735,35.48610937
41,-101.3706969,79.92879735,33.15438265
42,-101.3706969,79.92879735,30.38576789
43,-101.3706969,79.92879735,26.79707438
44,-101.3706969,79.92879735,22.83226008
45,-44.60310662,23.1698952,20.84353902
46,0,-21.42638506,20.12274653
47,0,-21.42638506,19.58038068
48,0,-21.42638506,18.68681738
49,0,-21.42638506,17.86276817
50,0,-21.42638506,17.56209772
51,0,-21.42638506,17.45905508
52,-56.76759025,35.33251709,16.47470852
53,-101.3706969,79.92879735,14.30991918
54,-44.60310662,23.1698952,12.4229433
55,0,-21.42638506,11.89058585
56,0,-21.42638506,11.83224493
57,0,-21.42638506,11.87751976
58,0,-21.42638506,12.02548493
59,0,-21.42638506,12.3648125
60,0,-21.42638506,13.39681867
61,0,-21.42638506,15.02673195
62,0,-21.42638506,15.69235094
63,0,-21.42638506,16.16249156
64,0,-21.42638506,16.68839696
65,0,-21.42638506,17.50593765
66,0,-21.42638506,18.04960303
67,0,-21.42638506,18.3395809
68,0,-21.42638506,19.31620533
69,0,-21.42638506,21.74325839
70,0,-21.42638506,24.91146336
71,0,-21.42638506,28.25247474
72,0,-21.42638506,31.13463078
73,0,-21.42638506,33.5341894
74,0,-21.42638506,35.14423182
75,0,-21.42638506,36.15232422
76,0,-21.42638506,37.05670227
77,0,-21.42638506,38.06930453
78,0,-21.42638506,39.03137151
79,0,-21.42638506,39.56795362
80,0,-21.42638506,39.44936753
81,0,-21.42638506,38.89584727
82,-20.27413937,-1.15534858,38.0294345
83,-83.12397143,61.68486451,37.11890794
84,0,-21.42638506,36.86131602
85,0,-21.42638506,36.34909227
86,0,-21.42638506,35.61479341
87,0,-21.42638506,34.95474731
88,0,-21.42638506,34.37005168
89,-6.082241812,-15.34507412,33.05706245
90,-101.3706969,79.92879735,29.51554158
91,-101.3706969,79.92879735,24.50354554
92,-101.3706969,79.92879735,18.91913023
93,-101.3706969,79.92879735,15.07969474
94,0,-21.42638506,12.73205001
95,0,-21.42638506,10.26895378
96,0,-21.42638506,7.320704833
97,0,-21.42638506,4.583393602
98,0,-21.42638506,2.793656555
99,0,-21.42638506,0.997027522
100,0,-21.42638506,0.000194439
101,0,-21.42638506,4.86634E-06
102,0,-21.42638506,1.46491E-06
103,0,-21.42638506,6.45837E-07
104,0,-21.42638506,3.38727E-07
105,0,-21.42638506,1.96354E-07
106,0,-21.42638506,1.2146E-07
107,0,-21.42638506,7.86136E-08
108,0,-21.42638506,5.25988E-08
109,0,-21.42638506,3.60904E-08
110,0,-21.42638506,2.52539E-08
111,0,-21.42638506,1.79492E-08
112,0,-21.42638506,1.29192E-08
113,0,-21.42638506,9.39534E-09
114,0,-21.42638506,6.89125E-09
115,0,-21.42638506,5.09073E-09
116,0,-21.42638506,3.78325E-09
117,0,-21.42638506,2.82587E-09
118,0,-21.42638506,2.11988E-09
119,0,-21.42638506,1.59614E-09
120,0,-21.42638506,1.20559E-09
121,0,-21.42638506,9.13073E-10
122,0,-21.42638506,6.93152E-10
123,0,-21.42638506,5.27266E-10
124,0,-21.42638506,3.73491E-10
125,0,-21.42638506,1.52611E-20
126,0,-21.42638506,1.52611E-20
127,0,-21.42638506,1.52611E-20
128,0,-21.42638506,1.52611E-20
129,0,-21.42638506,1.52611E-20
130,0,-21.42638506,1.52611E-20
131,0,-21.42638506,1.52611E-20
132,0,-21.42638506,1.52611E-20
133,0,-21.42638506,1.52611E-20
134,0,-21.42638506,1.52611E-20
135,0,-21.42638506,1.52611E-20
136,0,-21.42638506,1.52611E-20
137,0,-21.42638506,1.47184E-20
138,0,-21.42638506,0
139,0,-189.135418,0.442124085
140,0,-49.37789055,3.292186315
141,0,-21.42638506,8.148139062
142,0,-21.42638506,13.93715788
143,0,-21.42638506,17.60696423
144,0,-21.42638506,19.43394382
145,0,-21.42638506,20.44973453
146,0,-21.42638506,21.84661664
147,0,-21.42638506,24.15130384
148,0,-21.42638506,26.65018872
149,0,-21.42638506,28.59267184
150,0,-21.42638506,29.66818562
151,0,-21.42638506,29.78007734
152,-30.41120906,8.980169661,28.44258
153,-101.3706969,79.92879735,24.9218912
154,-101.3706969,79.92879735,19.87990136
155,-101.3706969,79.92879735,15.17464593
156,-70.95948781,49.52224263,12.41339472
157,0,-21.42638506,12.00089357
158,0,-21.42638506,12.98622753
159,0,-21.42638506,15.29402115
160,0,-21.42638506,18.55866653
161,0,-21.42638506,21.8625365
162,0,-21.42638506,24.68881582
163,0,-21.42638506,26.76908621
164,0,-21.42638506,28.66310508
165,0,-21.42638506,30.34028733
166,0,-21.42638506,31.78884569
167,0,-21.42638506,32.8346522
168,0,-21.42638506,34.27130442
169,0,-21.42638506,36.28593611
170,0,-21.42638506,37.82180785
171,0,-21.42638506,38.02920362
172,-30.41120906,8.980169661,36.50662563
173,-101.3706969,79.92879735,33.15700281
174,-101.3706969,79.92879735,29.06362938
175,-101.3706969,79.92879735,26.17785345
176,-70.95948781,49.52224263,24.62169227
177,0,-21.42638506,25.11418006
178,0,-21.42638506,26.53595461
179,0,-21.42638506,28.3331044
180,0,-21.42638506,29.35642274
181,0,-21.42638506,29.65320764
182,0,-21.42638506,29.47865274
183,0,-21.42638506,28.91701876
184,-30.41120906,8.980169661,27.30674925
185,-101.3706969,79.92879735,24.38773122
186,-101.3706969,79.92879735,21.88844972
187,-70.95948781,49.52224263,19.62728369
188,-30.41120906,8.980169661,17.75022973
189,-70.95948781,49.52224263,16.11647164
190,0,-21.42638506,14.96928129
191,0,-21.42638506,13.95099341
192,0,-21.42638506,13.16882487
193,0,-21.42638506,12.54665203
194,0,-21.42638506,12.20539401
195,0,-21.42638506,11.96878456
196,0,-21.42638506,11.86543573
197,0,-21.42638506,11.89475569
